Dataset,Vocabulary,Exempt_Mode,Model_ID,SARI_Avg,SARI_Median,SARI_Min,SARI_Max,SARI_P90,BLEU_Avg,BLEU_Median,BLEU_Min,BLEU_Max,BLEU_P90,METEOR_Avg,METEOR_Median,METEOR_Min,METEOR_Max,METEOR_P90,BERTScore_Avg,BERTScore_Median,BERTScore_Min,BERTScore_Max,BERTScore_P90,Jaccard_Similarity_Avg,Jaccard_Similarity_Median,Jaccard_Similarity_Min,Jaccard_Similarity_Max,Jaccard_Similarity_P90,Cosine_Similarity_Avg,Cosine_Similarity_Median,Cosine_Similarity_Min,Cosine_Similarity_Max,Cosine_Similarity_P90,Compression_Ratio_Avg,Compression_Ratio_Median,Compression_Ratio_Min,Compression_Ratio_Max,Compression_Ratio_P90
turk_corpus,ThingExplainer1000.txt,english_stopwords,MLM,31.5011,30.9309,14.7094,54.6511,40.4434,17.2432,13.6744,1.3039,62.9813,34.8478,44.4603,44.0613,7.5188,79.9077,64.7615,80.6526,81.1102,65.2174,95.2088,87.7968,35.2219,33.3333,5.0,73.6842,52.0762,83.3491,83.6468,66.5657,98.2458,90.7961,0.9344,0.9412,0.6897,1.0,1.0
asset,ThingExplainer1000.txt,english_stopwords,MLM,33.8777,33.0675,20.6529,63.7071,42.0015,18.6525,15.5801,2.3199,68.2827,35.7797,46.062,46.5406,11.3636,82.6141,63.892,81.0377,81.2657,66.2635,97.1401,87.5439,26.2516,25.0,0.0,60.0,40.0769,80.6166,81.1787,60.5286,95.5925,87.9937,0.9224,0.9412,0.3,2.5333,1.1429
sick,ThingExplainer1000.txt,english_stopwords,MLM,30.3226,29.3188,5.1282,66.6667,42.3631,13.2353,8.4718,0.0,79.4069,30.4399,35.2621,31.1888,0.0,92.6881,67.2772,81.3599,81.382,67.0511,96.9656,88.2934,54.4396,53.8462,18.1818,100.0,75.0,89.166,89.4079,75.3067,100.0,95.0122,0.9511,1.0,0.75,1.0,1.0
turk_corpus,ThingExplainer1000.txt,english_stopwords,T5,24.5836,24.4668,8.5612,51.7961,32.5943,1.054,0.0335,0.0,14.3372,2.6981,7.57,3.937,0.0,47.7498,21.93,62.3529,61.283,48.0227,83.7248,72.4819,6.5545,0.0,0.0,46.6667,20.0,61.1235,60.6034,42.6912,87.7807,71.6411,1.9418,1.5909,0.0286,15.5,4.3571
asset,ThingExplainer1000.txt,english_stopwords,T5,26.3195,25.6369,14.0859,45.9952,32.7027,1.2494,0.5845,0.0,12.8829,3.1692,8.5271,5.0,0.0,54.6059,23.0004,63.0196,61.843,48.5378,85.6164,72.7724,5.5921,0.0,0.0,39.5349,17.2714,60.2235,59.8783,41.8195,80.4072,70.0813,1.8772,1.7222,0.0286,10.3333,3.9133
sick,ThingExplainer1000.txt,english_stopwords,T5,25.7356,28.2505,3.5836,42.6736,32.1374,0.1241,0.0,0.0,4.1887,0.0,1.158,0.0,0.0,23.7234,2.1733,57.5221,55.7515,49.6119,81.7094,63.7354,2.2632,0.0,0.0,44.4444,0.0,60.5369,58.6629,49.4293,89.3987,66.6836,0.7123,0.1,0.0476,15.25,2.8814
turk_corpus,ThingExplainer1000.txt,english_stopwords,BYT5,25.848,25.7894,10.2199,46.5513,33.3229,3.3655,2.416,0.0,20.2108,6.8198,12.2518,9.901,0.0,51.4541,25.1694,67.7782,67.7357,54.9201,87.8945,74.8584,12.3419,10.5263,0.0,47.3684,25.0,68.2381,67.9099,51.1265,91.4676,78.5952,1.7497,1.5263,0.0192,7.5,2.9
asset,ThingExplainer1000.txt,english_stopwords,BYT5,27.5677,27.2145,16.2473,48.9923,33.1592,3.5687,2.554,0.0,20.0869,7.6993,13.7248,11.358,0.0,52.9487,26.7296,68.3261,68.3011,55.4526,87.2876,75.3573,9.9183,8.6957,0.0,44.4444,20.0,66.7496,66.1548,49.1437,86.0854,76.5144,1.6596,1.4706,0.0294,5.5,2.8
sick,ThingExplainer1000.txt,english_stopwords,BYT5,29.3135,29.8266,5.8824,62.6984,38.7596,2.1243,1.4764,0.0,29.1087,4.3651,12.7914,8.7726,0.0,74.2297,29.5255,70.4281,70.2435,57.0622,88.5619,77.5636,22.1134,21.4286,0.0,63.6364,44.4444,73.9415,73.9908,54.2517,89.5825,84.0836,2.8217,2.5833,0.9565,8.25,4.2536
turk_corpus,ThingExplainer1000.txt,english_stopwords,EMB_SUB,31.4227,31.1128,14.7094,56.0015,40.8533,14.9869,11.0991,1.1815,61.926,32.6171,39.0212,38.7205,7.5188,84.3611,59.5356,76.0728,75.7422,57.9633,94.8955,83.8792,35.0973,33.3333,7.6923,73.6842,50.0,77.3272,77.168,59.1231,95.5314,86.4164,0.9957,1.0,0.9038,1.0,1.0
asset,ThingExplainer1000.txt,english_stopwords,EMB_SUB,33.5329,32.6637,20.1348,59.9653,41.4874,15.8547,11.9901,1.4252,61.6261,34.502,39.9048,39.1182,8.2645,80.7183,59.764,76.3083,75.614,60.8248,92.0024,83.8001,25.7633,24.2424,0.0,64.2857,40.1081,74.6325,74.4781,52.6141,91.8585,83.318,0.9804,1.0,0.3333,2.6,1.1667
sick,ThingExplainer1000.txt,english_stopwords,EMB_SUB,30.0504,29.1194,5.1282,66.6667,42.5939,12.9933,8.1858,0.0,79.4069,30.0759,37.7442,32.3483,0.0,93.375,72.2253,81.2008,80.7069,67.8535,96.753,88.3522,55.1076,53.8462,20.0,100.0,73.3333,88.7478,88.4478,76.9441,100.0,95.0348,1.0,1.0,1.0,1.0,1.0
turk_corpus,ThingExplainer1000.txt,none,MLM,31.46,30.8775,14.7094,54.6511,40.3849,17.0318,13.4008,1.3039,62.9813,34.8278,43.9757,43.367,7.5188,79.9077,64.0897,80.4747,81.0096,64.6949,95.2088,87.637,34.8703,33.3333,5.0,73.6842,50.3704,83.1584,83.4116,65.1921,98.2458,90.713,0.9344,0.9412,0.6552,1.0,1.0
asset,ThingExplainer1000.txt,none,MLM,33.8263,33.0675,20.6711,59.4048,41.9765,18.4481,15.5101,2.3199,64.2543,35.6355,45.6872,46.046,11.3636,82.6141,63.881,80.9193,81.1417,66.2635,97.1401,87.4787,26.0614,25.0,0.0,60.0,40.0769,80.4586,81.0806,60.5286,95.5925,87.9701,0.9224,0.9375,0.3,2.5333,1.1286
sick,ThingExplainer1000.txt,none,MLM,30.3261,29.7222,5.1282,66.6667,42.032,13.0553,8.166,0.0,79.4069,29.9879,34.6116,29.8942,0.0,92.6881,66.178,81.2114,81.2523,67.0511,96.9656,88.258,53.773,53.8462,18.1818,100.0,75.0,88.9115,89.1708,75.3067,100.0,94.9799,0.9483,0.9428,0.75,1.0,1.0
turk_corpus,ThingExplainer1000.txt,none,T5,24.5879,24.4668,8.5612,51.7961,32.6189,1.0676,0.0335,0.0,14.3372,2.7447,7.5688,3.937,0.0,47.7498,21.93,62.3224,61.283,48.0227,83.7248,72.4355,6.5537,0.0,0.0,46.6667,20.0,61.127,60.6041,42.6912,87.7807,71.6411,1.9376,1.5897,0.0286,15.5,4.3571
asset,ThingExplainer1000.txt,none,T5,26.3164,25.6243,14.0859,48.3819,32.6955,1.2599,0.5845,0.0,12.8829,3.1968,8.5347,5.0761,0.0,54.6059,23.2909,63.0019,61.843,48.5378,85.6164,72.7724,5.5719,0.0,0.0,39.5349,16.7816,60.2002,60.0351,41.8195,80.4072,70.0564,1.8735,1.6944,0.0286,10.3333,3.9133
sick,ThingExplainer1000.txt,none,T5,25.7356,28.2505,3.5836,42.6736,32.1374,0.1241,0.0,0.0,4.1887,0.0,1.158,0.0,0.0,23.7234,2.1733,57.5351,55.791,49.6119,81.7094,63.7354,2.2632,0.0,0.0,44.4444,0.0,60.5457,58.656,50.5402,89.3987,66.6836,0.7166,0.1,0.0476,15.25,2.74
turk_corpus,ThingExplainer1000.txt,none,BYT5,25.7809,25.8124,10.2199,46.5513,33.1457,3.3407,2.3901,0.0,20.2108,6.7339,12.218,9.6899,0.0,51.4541,25.2141,67.792,67.7209,54.9201,87.8945,74.7601,12.1938,10.5263,0.0,47.3684,25.0,68.2257,67.8051,51.1265,91.4676,78.6617,1.7561,1.5238,0.0192,7.5,2.9106
asset,ThingExplainer1000.txt,none,BYT5,27.4926,27.2145,16.2473,44.1888,33.1092,3.5288,2.5115,0.0,21.683,7.4211,13.6446,11.194,0.0,52.9487,26.8199,68.3213,68.2668,55.4526,87.2876,75.1648,9.8177,8.6957,0.0,44.4444,20.0,66.7269,66.0929,49.1437,86.0854,76.5144,1.6655,1.4737,0.0294,5.5,2.8036
sick,ThingExplainer1000.txt,none,BYT5,29.3775,30.0654,5.8824,62.6984,38.7596,2.105,1.4473,0.0,29.1087,4.3651,12.6422,8.8107,0.0,74.2297,29.8332,70.3401,70.0554,57.0622,88.5619,77.5651,21.9844,21.4286,0.0,63.6364,43.0159,73.7647,73.6002,54.2517,89.5825,84.0836,2.8399,2.5833,0.9565,8.25,4.3375
turk_corpus,ThingExplainer1000.txt,none,EMB_SUB,31.3756,31.0393,14.7094,56.0015,40.8533,14.7488,10.9434,1.1815,61.926,32.1911,38.7529,38.1633,6.3939,84.3611,58.8023,75.9917,75.7422,57.9633,94.8955,83.8039,34.7147,33.3333,7.6923,73.6842,50.0,77.2163,77.168,59.1231,95.5314,86.3549,0.9957,1.0,0.9038,1.0,1.0
asset,ThingExplainer1000.txt,none,EMB_SUB,33.4949,32.6505,20.1348,55.9135,41.4146,15.5821,11.9809,1.4252,61.6261,33.8611,39.7503,39.0833,8.2645,80.7183,59.3044,76.2361,75.614,60.8248,92.0024,83.7718,25.5431,24.2424,0.0,64.2857,40.0,74.5484,74.4781,52.6141,91.8585,83.1086,0.9804,1.0,0.3333,2.6,1.1667
sick,ThingExplainer1000.txt,none,EMB_SUB,30.1116,29.2617,5.1282,66.6667,42.5939,12.8362,8.0416,0.0,79.4069,29.9879,37.6858,32.3483,0.0,93.375,71.6226,81.0965,80.6632,67.8535,96.753,88.3522,54.3939,53.8462,20.0,100.0,73.3333,88.5797,88.3936,76.9441,100.0,95.0348,1.0,1.0,1.0,1.0,1.0
turk_corpus,OgdenBasicEnglish850.txt,english_stopwords,MLM,31.3264,30.7457,14.8839,52.9291,39.2029,15.5382,11.3106,1.2302,84.0896,32.2683,42.5583,41.5642,7.5188,87.5743,63.8283,80.7141,80.9443,66.1149,94.8477,88.1923,32.7108,31.25,7.6923,73.3333,47.46,83.1661,83.5069,64.9509,97.4417,90.3157,0.9344,0.9412,0.6897,1.0,1.0
asset,OgdenBasicEnglish850.txt,english_stopwords,MLM,33.3483,32.3501,20.6529,55.9525,40.4136,16.7677,12.606,2.3574,84.0896,33.5631,44.1096,43.2065,11.3636,93.3957,63.3057,80.9991,81.046,66.0545,95.5536,87.7123,25.2398,23.5294,0.0,71.4286,38.4615,80.6273,80.8621,61.448,94.8861,88.3897,0.9224,0.9333,0.2941,2.6,1.1429
sick,OgdenBasicEnglish850.txt,english_stopwords,MLM,30.823,30.7178,3.7546,58.0519,41.8652,11.6418,7.9612,0.0,72.7245,25.9909,32.4059,28.2689,0.0,87.8262,62.0115,80.8656,80.8712,64.5616,96.1001,87.492,47.626,46.6667,10.0,100.0,66.875,88.0454,88.3525,73.5641,100.0,94.0212,0.9495,0.9762,0.75,1.0,1.0
turk_corpus,OgdenBasicEnglish850.txt,english_stopwords,T5,24.5015,24.4118,8.5612,50.7262,32.1994,1.056,0.0045,0.0,15.3543,2.6767,7.5825,3.937,0.0,45.5599,19.9362,62.6559,62.3602,48.0226,86.1466,72.8748,5.9815,0.0,0.0,42.2222,17.4425,61.4142,61.4504,44.8921,85.8868,71.9548,1.9975,1.7222,0.0286,10.3333,4.7692
asset,OgdenBasicEnglish850.txt,english_stopwords,T5,26.114,25.5252,14.0859,44.7584,32.3796,1.2488,0.5845,0.0,19.1947,2.7321,8.4182,5.3191,0.0,45.5133,21.2226,63.2695,62.5756,48.5378,85.2979,73.3586,5.4394,0.0,0.0,36.3636,15.6818,60.5916,60.693,43.2118,84.957,70.8414,1.937,1.7714,0.027,10.5,4.4286
sick,OgdenBasicEnglish850.txt,english_stopwords,T5,25.8926,28.2952,3.5836,48.3347,32.1792,0.1161,0.0,0.0,5.8764,0.0,1.2318,0.0,0.0,37.0066,0.0,58.875,56.5801,49.6119,78.0072,66.69,2.1227,0.0,0.0,50.0,6.1275,61.6758,60.0546,52.0011,85.0565,68.4725,0.676,0.1111,0.0476,7.75,2.7261
turk_corpus,OgdenBasicEnglish850.txt,english_stopwords,BYT5,25.9487,26.3113,9.9666,49.5121,32.8869,3.3191,2.4092,0.0,27.6422,6.3675,12.4131,10.0,0.0,65.5263,25.4076,67.8236,67.6006,55.5323,88.4415,74.4136,11.5652,10.7143,0.0,45.4545,23.5294,67.9972,67.7156,51.4932,88.2423,77.6239,1.6354,1.4667,0.0192,8.25,2.6031
asset,OgdenBasicEnglish850.txt,english_stopwords,BYT5,27.5494,27.1157,15.5409,42.621,33.5993,3.6021,2.6441,0.0,25.9164,6.7943,13.4543,11.194,0.0,58.5882,26.4876,68.294,67.6402,56.5311,84.8312,74.9293,9.876,9.0909,0.0,44.4444,20.1667,66.7024,66.1149,49.1437,86.186,75.6325,1.5524,1.4118,0.0294,5.0,2.4692
sick,OgdenBasicEnglish850.txt,english_stopwords,BYT5,29.4054,29.7619,4.8535,62.6984,39.3268,1.9091,1.4446,0.0,19.4467,4.3384,11.1843,7.8125,0.0,53.267,28.4103,69.3839,69.2091,54.6263,84.3831,76.9391,18.3255,16.6667,0.0,64.2857,37.5,72.1025,72.3837,51.947,88.9462,82.8893,2.8331,2.5455,1.0526,8.25,4.18
turk_corpus,OgdenBasicEnglish850.txt,english_stopwords,EMB_SUB,31.2077,30.6623,14.8839,52.8772,39.5135,13.4075,9.3451,0.8518,80.9107,28.3215,37.2891,36.2979,3.5336,86.306,58.9537,76.6226,76.3449,57.7791,96.2505,83.5164,32.6662,30.7692,8.3333,73.3333,48.9744,77.6241,77.3394,59.1986,96.3318,85.388,0.9957,1.0,0.9038,1.0,1.0
asset,OgdenBasicEnglish850.txt,english_stopwords,EMB_SUB,33.0337,32.1865,19.9096,57.3281,40.2418,14.1955,10.0492,1.4252,80.9107,28.5788,38.1075,37.0179,5.6818,86.306,58.2021,76.8162,76.4349,63.771,96.3546,83.7464,24.7865,22.8571,0.0,71.4286,37.5,75.1055,74.9361,53.6415,95.3734,82.9058,0.9804,1.0,0.3333,2.6,1.1667
sick,OgdenBasicEnglish850.txt,english_stopwords,EMB_SUB,30.5117,30.0673,3.7546,59.7479,41.5584,11.38,7.5392,0.0,72.7245,24.9024,32.7662,27.8546,0.0,93.6389,63.5957,79.6196,79.1332,67.293,96.1001,86.1655,48.0636,47.8261,9.0909,100.0,66.6667,86.147,85.6168,71.6169,100.0,92.9079,1.0,1.0,1.0,1.0,1.0
turk_corpus,OgdenBasicEnglish850.txt,none,MLM,29.7755,29.3406,10.2199,53.5748,37.2956,12.0343,8.9138,1.2537,84.0896,25.5011,35.3182,33.8484,6.4103,87.5743,53.4986,78.8343,79.0208,60.2881,95.5917,85.4912,24.795,23.5294,0.0,71.4286,38.3023,80.3988,80.8987,60.9844,94.0663,87.422,0.918,0.9286,0.6207,1.0,1.0
asset,OgdenBasicEnglish850.txt,none,MLM,31.2459,30.8286,18.5796,53.3706,37.6487,12.8626,9.2384,2.261,84.0896,26.2904,36.4734,35.4938,7.2464,93.3957,54.353,79.141,79.1606,63.5481,95.4329,85.7823,19.6791,18.6047,0.0,71.4286,30.5983,78.3169,78.8219,58.2071,95.2392,85.9001,0.9061,0.9167,0.2727,2.4667,1.1124
sick,OgdenBasicEnglish850.txt,none,MLM,30.6411,30.3228,7.904,62.4718,40.331,9.2675,6.5673,0.0,64.5,20.6763,24.6402,20.9209,0.0,78.3353,50.0099,78.549,78.358,63.1482,94.0573,84.9442,32.4215,33.3333,0.0,75.0,50.0,84.1406,84.5577,65.6573,96.1869,90.4823,0.9147,0.9167,0.7143,1.0,1.0
turk_corpus,OgdenBasicEnglish850.txt,none,T5,23.7408,23.8943,8.5612,51.049,30.3882,0.7784,0.0002,0.0,12.2956,2.1009,5.4407,3.4483,0.0,38.2833,15.3238,61.4652,61.5453,48.0226,80.9193,69.918,4.474,0.0,0.0,42.8571,13.8916,60.3789,60.4424,44.8921,86.9214,69.3622,1.7956,1.3778,0.0286,10.3333,4.3714
asset,OgdenBasicEnglish850.txt,none,T5,25.3448,25.0633,14.0859,37.804,30.3842,0.9278,0.0335,0.0,14.7659,2.3162,6.2448,4.2373,0.0,32.7825,16.805,62.1674,62.0478,48.5378,81.7825,69.6493,4.1049,0.0,0.0,40.9091,12.9032,59.6032,59.6387,43.6725,86.9214,68.5513,1.75,1.3889,0.027,10.5,3.9267
sick,OgdenBasicEnglish850.txt,none,T5,25.8602,28.2967,3.5836,39.9577,32.1452,0.1439,0.0,0.0,5.8764,0.0,0.9921,0.0,0.0,33.6257,0.0,58.4334,56.4405,49.6119,79.3031,65.0103,1.7185,0.0,0.0,35.2941,5.8824,61.1963,59.6527,51.6048,82.0761,67.3188,0.5906,0.1111,0.0476,7.75,1.8071
turk_corpus,OgdenBasicEnglish850.txt,none,BYT5,25.0709,25.591,9.969,43.4371,32.285,2.7185,1.9823,0.0,27.6422,4.9897,9.3552,7.874,0.0,44.8148,20.0323,66.7414,66.8546,55.4691,83.0305,73.0645,8.4065,8.3333,0.0,45.4545,16.6667,66.6468,66.0409,50.6763,88.2423,75.1751,1.5744,1.3684,0.0192,10.75,2.6133
asset,OgdenBasicEnglish850.txt,none,BYT5,26.4603,26.54,14.5488,41.848,31.3803,2.8937,2.164,0.0,26.5725,5.3832,10.2984,8.5227,0.0,45.7133,21.3985,67.0746,66.9183,54.0783,83.4685,73.2994,7.5686,7.4074,0.0,35.0,15.0,65.7667,65.408,49.8916,86.186,74.0443,1.4899,1.3333,0.0294,5.2857,2.2952
sick,OgdenBasicEnglish850.txt,none,BYT5,28.3533,29.7604,4.8535,59.4709,36.0298,1.4137,1.2415,0.0,21.7179,3.0735,7.6818,4.6729,0.0,52.4102,21.6302,68.1438,67.2365,52.7754,87.3915,75.7959,12.9673,11.4379,0.0,53.3333,31.25,70.6241,69.3725,47.1758,89.0367,81.4335,2.6112,2.4495,0.7,6.5,4.0125
turk_corpus,OgdenBasicEnglish850.txt,none,EMB_SUB,29.7774,29.4706,10.4888,51.4156,38.2935,10.2364,7.1586,0.8518,80.9107,20.4758,29.8632,28.7742,2.3256,85.5159,48.6233,74.4026,74.2314,56.3537,94.2429,80.6005,24.5425,23.0769,0.0,71.4286,37.6923,74.6478,74.4857,58.4784,93.1854,81.4943,0.9957,1.0,0.9038,1.0,1.0
asset,OgdenBasicEnglish850.txt,none,EMB_SUB,31.1665,30.5094,19.3879,53.0072,37.2184,10.7888,7.4398,1.4252,80.9107,23.004,30.7157,29.6044,4.6729,78.8989,48.9996,74.6641,74.3133,62.6966,92.625,80.0927,19.1667,17.9487,0.0,71.4286,29.6496,72.6145,72.525,51.6032,93.1854,78.9302,0.9804,1.0,0.3333,2.6,1.1667
sick,OgdenBasicEnglish850.txt,none,EMB_SUB,30.4267,30.0928,7.904,56.8254,41.0079,8.8283,5.9191,0.0,64.5,20.4589,24.6118,19.246,0.0,78.3353,52.8481,77.6772,77.0783,65.9171,93.168,83.6192,34.3608,33.3333,0.0,77.7778,50.0,82.9207,82.3729,70.3196,95.5613,89.1428,1.0,1.0,1.0,1.0,1.0
turk_corpus,vocab_100.txt,english_stopwords,MLM,29.8845,29.5892,14.5934,53.3461,37.4284,11.5442,9.264,1.3039,47.8554,21.3242,36.7431,35.2654,9.009,79.9077,55.4401,76.5211,76.6131,64.0417,89.5548,82.6454,27.2283,26.0,5.0,60.0,40.0,78.2273,78.8445,61.576,90.6067,85.1645,0.9218,0.9286,0.6154,1.0,0.9716
asset,vocab_100.txt,english_stopwords,MLM,31.5977,31.301,20.1877,52.0733,36.8029,12.5023,10.0747,1.9274,47.629,21.4294,38.1764,37.5,11.3636,75.356,53.8997,76.9224,77.0106,62.5477,89.0371,82.6466,21.406,21.2121,0.0,50.0,32.6126,75.9769,76.5071,58.0817,89.6956,83.1272,0.9099,0.9167,0.3,2.5333,1.1129
sick,vocab_100.txt,english_stopwords,MLM,30.8707,31.3528,9.0815,63.7862,39.5121,7.8075,6.2949,0.0,59.4604,14.2588,24.9141,21.9102,0.0,76.026,46.8281,76.9632,77.0224,63.5414,88.1219,82.2173,33.4176,33.3333,15.3846,64.7059,43.8194,81.8863,81.9835,71.8107,91.4874,85.6671,0.9079,0.9091,0.75,1.0,0.9476
turk_corpus,vocab_100.txt,english_stopwords,T5,23.9845,24.2633,8.5612,41.6318,31.7741,0.7676,0.0123,0.0,7.1093,2.0247,6.3987,4.1899,0.0,33.2143,16.7581,60.6531,61.1556,44.5291,75.0499,68.7244,4.7427,0.0,0.0,40.0,15.1981,59.3394,59.8002,41.6174,79.4874,68.209,1.8506,1.3778,0.0286,15.5,4.7692
asset,vocab_100.txt,english_stopwords,T5,25.5832,25.2372,14.0859,40.1621,31.0325,0.8956,0.2479,0.0,8.4171,2.1597,7.1464,5.4945,0.0,36.3377,18.1771,61.2563,61.4968,44.9343,76.5383,69.315,4.3733,0.0,0.0,35.2941,14.2857,58.5717,59.3155,41.6174,75.9757,66.8013,1.8028,1.5122,0.0286,10.3333,4.4286
sick,vocab_100.txt,english_stopwords,T5,25.7223,28.3529,3.5836,39.591,32.0542,0.0396,0.0,0.0,1.3901,0.0,0.3903,0.0,0.0,21.8824,0.0,56.5666,55.5509,49.6119,69.267,61.6677,0.7642,0.0,0.0,22.2222,0.0,59.6675,58.649,52.1692,71.0383,65.0376,0.4249,0.1,0.0476,6.7778,0.1667
turk_corpus,vocab_100.txt,english_stopwords,BYT5,25.3478,25.8836,10.4763,44.027,32.5626,2.6189,1.8885,0.0,19.546,5.1947,10.3448,8.3682,0.0,43.1057,21.2838,65.7653,65.7181,52.2718,77.4929,71.151,9.6458,8.6957,0.0,45.4545,18.8095,65.036,65.0599,39.537,81.6027,73.1221,1.8361,1.5556,0.0192,10.75,3.1022
asset,vocab_100.txt,english_stopwords,BYT5,26.8534,26.9043,16.6639,44.6749,31.3809,2.7428,1.9968,0.0,21.3243,5.3832,11.3394,9.1324,0.0,38.9529,23.2077,66.1581,66.1464,51.7957,78.5502,71.4857,8.6327,8.0,0.0,44.4444,17.4845,64.0073,63.9039,48.3187,81.2248,71.1797,1.7309,1.5,0.0294,5.3333,3.0
sick,vocab_100.txt,english_stopwords,BYT5,27.7587,29.557,5.8824,58.3333,35.4992,1.0816,1.2558,0.0,5.6479,1.9823,6.0726,4.525,0.0,40.245,15.2439,66.2406,66.1363,55.0583,77.725,70.4487,10.4872,7.1429,0.0,50.0,27.3232,67.2206,66.3306,54.2517,85.0842,74.8857,2.8246,2.6,1.0,8.25,4.3033
turk_corpus,vocab_100.txt,english_stopwords,EMB_SUB,29.7747,29.4273,14.557,52.9835,37.7125,9.496,7.3471,1.1777,45.7231,18.368,30.6904,30.6755,3.7594,69.8825,48.6778,72.7647,72.759,57.831,84.267,78.7969,27.6007,26.9231,7.6923,61.5385,39.3074,73.2368,73.5321,58.6705,87.9338,80.3209,0.9957,1.0,0.9038,1.0,1.0
asset,vocab_100.txt,english_stopwords,EMB_SUB,31.2152,30.8837,19.4573,52.0733,36.5484,10.0393,7.9559,1.2878,45.7231,18.2957,31.696,31.0961,5.0505,69.8825,47.981,73.0275,73.1782,61.472,84.0399,78.7873,21.1844,20.5882,0.0,61.5385,32.0,71.0062,71.2656,53.3447,82.3077,77.424,0.9804,1.0,0.3333,2.6,1.1667
sick,vocab_100.txt,english_stopwords,EMB_SUB,30.8126,31.0068,9.0815,60.7143,38.2926,7.3281,5.9342,0.0,59.4604,12.2231,23.501,19.9206,0.0,73.6111,43.0713,74.8024,74.8156,65.3275,91.2063,78.9184,34.5869,33.3333,14.2857,61.1111,45.5245,79.0421,78.7974,71.2956,90.3508,84.0026,1.0,1.0,1.0,1.0,1.0
turk_corpus,vocab_100.txt,none,MLM,22.8477,23.3619,9.4384,42.8786,29.4209,3.5385,2.9562,1.1815,17.3958,5.7399,10.4235,9.2365,2.4876,33.7879,18.1595,69.4057,69.9475,53.7682,80.2843,74.3395,2.8796,0.0,0.0,21.0526,7.6923,68.8033,69.2522,54.5126,81.7453,74.2985,0.7619,0.7778,0.375,1.0,0.9006
asset,vocab_100.txt,none,MLM,24.4443,24.4892,14.0859,33.754,28.1338,3.7142,3.1252,0.0,18.693,6.2598,11.3246,10.2041,2.4876,35.7143,17.1602,69.9507,70.3294,55.7337,84.2059,75.0363,1.9188,0.0,0.0,21.0526,6.25,67.7399,68.2206,52.3083,78.4694,73.2597,0.752,0.7692,0.2,1.7333,0.9714
sick,vocab_100.txt,none,MLM,26.1654,28.7202,3.5836,41.0451,32.5821,1.6026,0.0,0.0,15.9736,4.1961,3.2112,2.4595,0.0,23.4375,7.5994,70.425,70.507,55.7511,81.4141,74.2801,3.2843,0.0,0.0,20.0,8.3333,71.9683,71.9631,56.157,80.6728,75.8456,0.7692,0.75,0.4286,1.0,0.9
turk_corpus,vocab_100.txt,none,T5,22.2037,22.7479,8.5612,32.2797,28.7736,0.1805,0.0,0.0,8.5153,0.5845,2.4094,2.3364,0.0,25.4141,5.4945,56.7401,56.4327,48.0226,71.3198,62.4807,0.2946,0.0,0.0,6.25,0.0,55.9699,55.2998,44.1571,75.6414,62.7031,0.4465,0.0909,0.0192,7.625,1.553
asset,vocab_100.txt,none,T5,23.7851,23.8831,14.0859,30.9609,27.4777,0.2716,0.0006,0.0,7.5454,0.7855,2.9736,2.7473,0.0,10.8696,6.8493,57.4182,56.7462,48.5378,68.6447,62.7709,0.0368,0.0,0.0,5.8824,0.0,55.2072,54.5725,42.8458,72.3371,61.8303,0.4523,0.0833,0.027,6.1,1.7092
sick,vocab_100.txt,none,T5,25.5816,28.2205,3.5836,33.3333,31.9816,0.0,0.0,0.0,0.0002,0.0,0.0098,0.0,0.0,3.937,0.0,56.0994,55.5085,49.6119,64.912,60.5716,0.0,0.0,0.0,0.0,0.0,59.298,58.5769,52.1692,68.424,64.1298,0.1012,0.0909,0.0435,0.3333,0.1429
turk_corpus,vocab_100.txt,none,BYT5,22.3362,22.9058,8.5612,34.4381,29.0477,0.3736,0.0,0.0,3.7955,1.6467,1.3257,0.0,0.0,14.0415,4.1808,62.7446,63.0927,47.1379,72.8979,67.226,0.8977,0.0,0.0,11.7647,4.7619,61.4475,61.7471,43.5413,78.295,66.7451,1.3073,1.1333,0.0192,5.6667,2.3709
asset,vocab_100.txt,none,BYT5,23.9303,24.0289,14.0859,31.4384,27.5705,0.5366,0.0,0.0,5.5224,1.9146,1.7513,0.0,0.0,18.254,4.72,63.234,63.5708,48.2716,74.7259,67.6042,0.5481,0.0,0.0,10.0,2.8739,60.7515,61.1671,39.1581,77.8087,65.7077,1.2463,1.0625,0.0294,5.1,2.25
sick,vocab_100.txt,none,BYT5,25.7936,28.4091,3.5836,35.5556,32.1429,0.1026,0.0,0.0,3.4355,0.0,0.6097,0.0,0.0,21.0674,3.3333,64.567,64.5353,54.3987,76.5747,68.3453,1.1442,0.0,0.0,40.0,5.2632,65.0603,64.9365,51.868,78.7375,69.9859,2.0664,2.0,0.5385,7.8,3.1429
turk_corpus,vocab_100.txt,none,EMB_SUB,22.8651,23.3109,8.5612,42.8786,29.3928,1.6689,1.428,0.0,17.7784,3.9329,5.4803,4.0161,0.0,29.0452,12.5157,67.3557,67.6184,53.0693,74.9871,71.5466,3.2119,2.439,0.0,26.6667,8.0,66.2201,66.599,50.8274,76.6495,70.5255,0.9957,1.0,0.9038,1.0,1.0
