Dataset,Vocabulary,Exempt_Mode,Model_ID,SARI_Avg,SARI_Median,SARI_Min,SARI_Max,SARI_P90,BLEU_Avg,BLEU_Median,BLEU_Min,BLEU_Max,BLEU_P90,METEOR_Avg,METEOR_Median,METEOR_Min,METEOR_Max,METEOR_P90,BERTScore_Avg,BERTScore_Median,BERTScore_Min,BERTScore_Max,BERTScore_P90,Jaccard_Similarity_Avg,Jaccard_Similarity_Median,Jaccard_Similarity_Min,Jaccard_Similarity_Max,Jaccard_Similarity_P90,Cosine_Similarity_Avg,Cosine_Similarity_Median,Cosine_Similarity_Min,Cosine_Similarity_Max,Cosine_Similarity_P90,Compression_Ratio_Avg,Compression_Ratio_Median,Compression_Ratio_Min,Compression_Ratio_Max,Compression_Ratio_P90
asset,vocab_1900.txt,english_stopwords,BYT5,27.7765,27.1862,15.5409,44.428,33.6584,4.318,3.0603,0.0,45.6741,9.2901,15.4318,12.1951,0.0,53.3356,30.0111,69.4788,69.2991,54.3269,88.346,76.2762,11.0367,9.5238,0.0,57.1429,22.2939,68.2871,67.9623,51.266,87.6344,77.9263,1.4768,1.3158,0.0294,5.0,2.3846
sick,vocab_1900.txt,english_stopwords,BYT5,30.0657,30.7023,3.3333,66.6667,39.5742,2.9406,1.6934,0.0,20.8633,7.3434,15.7503,10.2567,0.0,65.7895,38.9637,72.3127,71.9536,56.7282,88.1429,80.6668,26.1716,26.4912,0.0,80.0,50.0,76.3214,76.9314,55.417,88.9462,85.2018,2.6456,2.4167,0.8667,8.25,4.0
turk_corpus,vocab_1900.txt,english_stopwords,EMB_SUB,31.8545,31.2521,12.4865,53.2897,40.9576,16.1165,12.1921,1.1777,75.9836,34.3604,42.3761,42.0327,7.8947,85.5159,64.2556,78.8732,79.0738,64.6935,94.102,86.1352,36.7054,36.0,13.3333,82.3529,52.0348,80.483,80.421,62.1376,97.6311,88.4089,0.9957,1.0,0.9038,1.0,1.0
asset,vocab_1900.txt,english_stopwords,EMB_SUB,33.7276,33.1631,20.3402,54.4782,41.816,17.0047,13.724,1.5315,75.9836,34.3604,43.2364,42.845,8.2645,84.0262,62.4701,78.9557,78.8942,63.6515,94.102,86.1632,27.041,25.4902,0.0,71.4286,41.7949,77.7149,77.9793,55.8155,94.2927,85.5922,0.9804,1.0,0.3333,2.6,1.1667
sick,vocab_1900.txt,english_stopwords,EMB_SUB,29.3808,28.3639,2.0833,66.6667,41.2118,14.9513,9.1224,0.0,75.9836,38.0186,38.7285,34.1226,0.0,99.8542,73.6111,82.6413,82.1474,67.7216,98.2125,90.5746,60.359,60.0,27.2727,100.0,80.0,90.514,90.8651,76.0778,100.0,95.8814,1.0,1.0,1.0,1.0,1.0
turk_corpus,vocab_1900.txt,none,MLM,24.1128,24.7719,9.8043,39.8446,30.7512,5.0216,4.2772,0.0,18.7983,8.9232,17.2334,15.3509,3.6232,49.6224,28.1411,75.793,76.3719,58.8615,89.1998,81.159,8.9015,7.6923,0.0,33.3333,17.6471,76.3676,77.011,59.1963,89.8303,82.5627,0.8432,0.8571,0.4091,1.0,0.9509
asset,vocab_1900.txt,none,MLM,25.6836,25.862,14.0859,38.8228,29.7903,5.4024,4.4569,1.3029,37.5023,9.2758,18.7155,16.6558,4.5455,63.0252,31.9444,76.2259,76.7926,63.0569,89.6616,81.3511,6.486,5.8824,0.0,27.2727,13.6677,75.047,75.9398,55.0074,88.1991,81.2121,0.8332,0.8485,0.2,2.2,1.0383
sick,vocab_1900.txt,none,MLM,27.951,29.7619,6.9517,41.7937,34.6832,4.0764,3.7727,0.0,28.0395,7.215,11.1524,10.7527,0.0,42.0635,22.0348,77.0363,77.1446,62.4829,89.5024,82.0353,16.9621,16.3978,0.0,44.4444,28.5714,80.742,81.0744,69.9855,91.041,85.0689,0.8785,0.8824,0.5,1.0,1.0
turk_corpus,vocab_1900.txt,none,T5,22.493,22.9943,8.5612,48.4116,29.1294,0.3395,0.0,0.0,10.5763,0.8294,2.1019,0.0,0.0,27.0348,5.1073,59.9345,60.5488,44.5291,82.7179,66.1203,1.136,0.0,0.0,36.3636,4.2029,59.2784,59.5651,41.6174,86.5972,65.7567,1.0218,0.2632,0.0278,7.75,3.2632
asset,vocab_1900.txt,none,T5,24.0222,24.1061,14.0859,30.9609,27.6331,0.4542,0.0,0.0,9.8472,1.4946,2.4864,0.0,0.0,25.702,6.0976,60.572,60.7869,44.9343,82.9966,67.2831,0.7414,0.0,0.0,12.1951,3.7037,58.4467,59.1323,41.6174,80.9065,64.7619,1.0085,0.25,0.027,6.8889,3.0733
